"BehaviorSpace results (NetLogo 3D 6.1.1)"
"TumourAngioSim.nlogo3d"
"final-state"
"11/01/2020 14:38:42:562 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","quiescent-duration","angiogenesis-signal-radius","initial-cells","max-low-energy-duration","malignant-proliferation-chance","angiogenesis-min-demand","energy-req-prolif","normal-proliferation-chance","disease-ratio","[step]","count-malignant-cells","count-somatic-cells","count-malignant-spawn-cells","count-somatic-spawn-cells","count-quiescent-cells-at-final-tick","count-quiescent-cells-occurences","count-vascular-patches"
"192","15","2","500","10","2.25","1","2","2","2","301","3754","425","6186","2413","144","632","5063"
"204","15","2","500","10","2.25","3","2","2","2","301","576","327","1014","2366","25","115","1492"
"203","15","2","500","10","2.25","3","2","2","2","301","704","383","1125","2336","19","101","1446"
"206","15","2","500","10","2.25","3","2","2","2","301","0","424","24","2775","0","7","783"
"207","15","2","500","10","2.25","3","2","2","2","301","268","290","491","2292","11","56","1092"
"208","15","2","500","10","2.25","3","2","2","2","301","687","249","1173","1820","28","104","924"
"205","15","2","500","10","2.25","3","2","2","2","301","1514","178","2513","1714","55","269","2389"
"209","15","2","500","10","2.25","3","2","2","2","301","546","385","915","2302","19","83","1450"
"211","15","2","500","10","2.25","3","2","2","2","301","656","355","1067","2304","25","104","1521"
"212","15","2","500","10","2.25","3","2","2","2","301","871","418","1449","2534","30","127","1765"
"210","15","2","500","10","2.25","3","2","2","2","301","1550","455","2536","2697","64","237","1882"
"214","15","2","500","10","2.25","3","2","2","2","301","4","362","23","2495","1","10","783"
"215","15","2","500","10","2.25","3","2","2","2","301","34","410","85","2592","3","11","783"
"217","15","2","500","10","2.25","3","2","2","2","301","302","287","472","2063","11","58","1013"
"216","15","2","500","10","2.25","3","2","2","2","301","617","282","1046","2113","24","119","1334"
"220","15","2","500","10","2.25","3","2","2","2","301","403","305","779","2188","21","118","1288"
"221","15","2","500","10","2.25","3","2","2","2","301","598","242","967","2030","19","110","1417"
"219","15","2","500","10","2.25","3","2","2","2","301","642","363","1160","2305","17","119","1068"
"223","15","2","500","10","2.25","3","2","2","2","301","37","362","104","2219","5","25","786"
"224","15","2","500","10","2.25","3","2","2","2","301","0","374","25","2552","0","11","783"
"218","15","2","500","10","2.25","3","2","2","2","301","2131","338","3570","2267","95","386","2666"
"213","15","2","500","10","2.25","3","2","2","2","301","2471","380","4113","2711","78","381","3168"
"222","15","2","500","10","2.25","3","2","2","2","301","1207","389","2036","2507","52","223","2137"
